ticker,fiscal_year,altman_z,net_debt_ebitda,current_ratio,sloan_accruals,ccr,ev_ebitda,fcf_yield,fcf,ebitda,net_debt,market_cap,sic
PCRX,2025.0,3.0651550552949893,1.938447021249569,4.544108135002903,-0.11460040461152787,1.379080697552035,10.634539751132273,0.14258822658784,136661000.0,110214000.0,213644000.0,958431164.1312923,2834.0
PDFS,2025.0,2.6830745097338444,2.4948650825614176,2.279742944179383,-0.0589758226115783,2.421768022553363,139.5267969792858,-0.0063027132748105594,-8578000.0,9932000.0,24779000.0,1361001147.5982666,7372.0
PEB,2025.0,,44.29213662724325,,-0.05899957630398712,5.701835700260286,77.11302525711395,0.1059715728646212,152333000.0,43798000.0,1939907000.0,1437489280.2110767,6798.0
PECO,2025.0,,,,-0.04480256838347484,,,0.07539974867044406,348149000.0,,2371784000.0,4617376133.728027,6798.0
PENG,2025.0,3.102236902820227,0.07069461570078094,2.245683151895235,-0.054140335465273866,0.9539400617397312,8.215381342994988,0.1074479732913464,100072000.0,114351000.0,8084000.0,931353071.9528198,3674.0
PENN,2025.0,-0.7144353997833365,-9.78164975738862,0.7903083700440529,-0.09470511966920139,-2.2417291574768416,-19.6115715278084,-0.06259975390391166,-139500000.0,-226700000.0,2217500000.0,2228443265.354164,7011.0
PFS,2025.0,,-0.4549920126057187,,-0.006048827275125487,0.9625441265447011,5.492176582451915,0.1576263750071744,430725000.0,459474000.0,-209057000.0,2732569343.0455112,6035.0
PGNY,2025.0,7.234880527255221,-1.2439789415350513,2.726282295161346,-0.2042899378396762,2.329642560266002,15.193547333483782,0.12931368642407767,191782000.0,90225000.0,-112238000.0,1483075808.1635742,8090.0
PHIN,2025.0,2.6092489640985397,1.491484184914842,1.8606124604012673,-0.047681425203039036,0.7591240875912408,7.818980103967226,0.11997227612671911,312000000.0,411000000.0,613000000.0,2600600822.73053,3714.0
PI,2025.0,0.6858058535257249,16.267915821855556,2.6810062753900383,-0.12765001302307835,4.107250227225058,231.3273525210033,0.014917123780625152,45885000.0,14303000.0,232680000.0,3075995123.10791,3679.0
PIPR,2025.0,,,,-0.11775460282661035,1.4966998089027344,,0.4633126558982176,586627000.0,391947000.0,,1266157944.3857727,6211.0
PJT,2025.0,,-1.5125329111721149,,-0.1990367344873661,1.4772779583564903,,,480437000.0,356262000.0,-538858000.0,,6282.0
PLAB,2025.0,10.80000307994375,-1.7246329081105323,5.3658642455372485,-0.06335279630028269,0.8681902746488496,6.3038724936494175,0.026035920954293953,59661000.0,285419000.0,-492243000.0,2291487983.264923,3674.0
PLMR,2025.0,,-0.4074268918903464,,-0.06950288220095464,1.559643484791302,11.855070019137788,0.12714549306277223,408984000.0,262317000.0,-106875000.0,3216661402.210167,6331.0
PLUS,2025.0,5.103646798302027,-1.8896432351513663,1.7092606309446372,-0.10975238209364227,1.7668368331491324,10.044877782811094,0.1480442181542011,302145000.0,171009000.0,-323146000.0,2040910504.7607422,5045.0
PLXS,2025.0,5.225121357027247,-1.0938774927452948,1.5795218620344074,-0.02427176518070219,0.8895928441657178,18.074109396588646,0.028670836552091013,153967000.0,280163000.0,-306464000.0,5370160710.876465,3672.0
PMT,2025.0,,,,0.34389579705364,-76.88536314992858,,-7.329343725756356,-7213231000.0,93818000.0,,984157827.7536201,6798.0
POWI,2025.0,13.433748489502474,-1.571451496429431,6.513963701482355,-0.11580444103718303,2.98264195351574,72.50693807750123,0.03145520026082383,87122000.0,37389000.0,-58755000.0,2769716907.7796936,3674.0
POWL,2025.0,7.574584626336405,-2.0021721265963355,2.087238203621521,0.012576307062170743,0.7459722376457524,26.113234062095493,0.024455086356246183,154788000.0,225125000.0,-450739000.0,6329480818.229248,3613.0
PRA,2025.0,,5.327158695139381,,0.014050358423202267,-0.35549265287432874,22.962397767373044,-0.020158085264295904,-25620000.0,72069000.0,383923000.0,1270954044.6968079,6331.0
